Month,country,role,monthly_goldstein,monthly_event_count
2015-10-01,ESP,actor2,5.4,4
2015-10-01,FRA,actor1,4.924137931034482,29
2015-10-01,FRA,actor2,5.133333333333334,9
2015-10-01,IRL,actor1,4.742857142857143,7
2015-10-01,IRL,actor2,4.68,5
2015-10-01,ITA,actor1,7.400000000000001,3
2015-10-01,ITA,actor2,4.955555555555556,9
2015-10-01,NLD,actor1,1.7333333333333334,3
2015-10-01,NLD,actor2,6.050000000000001,4
2015-11-01,AUT,actor1,6.4,1
2015-11-01,AUT,actor2,0.0,1
2015-11-01,BEL,actor2,6.2,2
2015-11-01,DEU,actor1,4.971428571428572,7
2015-11-01,DEU,actor2,7.15,4
2015-11-01,ESP,actor1,6.054545454545456,11
2015-11-01,ESP,actor2,5.671428571428572,14
2015-11-01,FRA,actor1,4.023529411764706,34
2015-11-01,FRA,actor2,3.888888888888889,18
2015-11-01,IRL,actor1,3.885714285714286,7
2015-11-01,IRL,actor2,5.844444444444445,9
2015-11-01,ITA,actor1,6.4,1
2015-11-01,ITA,actor2,5.577777777777778,9
2015-11-01,NLD,actor1,3.9142857142857146,7
2015-11-01,NLD,actor2,4.933333333333334,3
2015-11-01,PRT,actor2,7.4,2
2015-12-01,BEL,actor1,-0.2999999999999998,2
2015-12-01,DEU,actor1,3.5875000000000004,16
2015-12-01,DEU,actor2,7.15,4
2015-12-01,ESP,actor1,0.0,3
2015-12-01,ESP,actor2,3.7,2
2015-12-01,FRA,actor1,5.31764705882353,17
2015-12-01,FRA,actor2,4.800000000000001,16
2015-12-01,IRL,actor1,5.840000000000001,5
2015-12-01,IRL,actor2,6.342857142857143,7
2015-12-01,ITA,actor1,6.400000000000001,3
2015-12-01,ITA,actor2,5.6000000000000005,8
2015-12-01,LUX,actor1,5.0,1
2015-12-01,NLD,actor1,6.4,1
2015-12-01,NLD,actor2,6.900000000000001,6
2016-01-01,AUT,actor1,5.92,5
2016-01-01,BEL,actor1,6.6000000000000005,4
2016-01-01,BEL,actor2,6.4,1
2016-01-01,DEU,actor1,4.711111111111112,9
2016-01-01,DEU,actor2,2.466666666666667,3
2016-01-01,ESP,actor1,7.4,1
2016-01-01,FRA,actor1,4.275,8
2016-01-01,FRA,actor2,1.85,4
2016-01-01,IRL,actor1,3.6399999999999997,5
2016-01-01,IRL,actor2,7.400000000000001,3
2016-01-01,ITA,actor1,-2.8666666666666667,6
2016-01-01,ITA,actor2,5.654545454545455,11
2016-01-01,NLD,actor1,7.4,1
2016-01-01,NLD,actor2,7.4,4
2016-01-01,PRT,actor1,0.0,1
2016-01-01,PRT,actor2,0.0,1
2016-02-01,AUT,actor1,5.550000000000001,4
2016-02-01,AUT,actor2,7.4,1
2016-02-01,BEL,actor1,1.542857142857143,7
2016-02-01,BEL,actor2,7.066666666666667,3
2016-02-01,DEU,actor1,5.28,5
2016-02-01,DEU,actor2,4.927272727272728,11
2016-02-01,ESP,actor1,5.720000000000001,5
2016-02-01,ESP,actor2,5.2,2
2016-02-01,FIN,actor1,0.0,1
2016-02-01,FIN,actor2,0.0,5
2016-02-01,FRA,actor1,4.418181818181818,11
2016-02-01,FRA,actor2,5.76,10
2016-02-01,IRL,actor1,6.300000000000001,2
2016-02-01,IRL,actor2,3.866666666666667,3
2016-02-01,ITA,actor1,0.0,3
2016-02-01,LUX,actor2,7.4,1
2016-02-01,NLD,actor1,7.4,1
2016-02-01,NLD,actor2,1.6,4
2016-03-01,AUT,actor1,3.4,1
2016-03-01,BEL,actor1,7.4,5
2016-03-01,BEL,actor2,3.7000000000000006,6
2016-03-01,DEU,actor1,5.755555555555556,9
2016-03-01,DEU,actor2,7.4,4
2016-03-01,ESP,actor1,6.4,1
2016-03-01,ESP,actor2,4.6000000000000005,3
2016-03-01,FIN,actor1,7.4,4
2016-03-01,FIN,actor2,0.0,1
2016-03-01,FRA,actor1,3.709090909090909,11
